"Contaminant","Authorization","Limit","Amount.Released","url","regulated_entity_name","physical_location","rn_number","city","county","event_type","event_began_date","event_began_time","based_on","event_ended_date","event_ended_time","cause","action_taken","emissions_estimation_method","potential_duplicate"
"Opacity","Permit No. O8414, PSD-TX-328M3","10.0 % op","40.0 % op (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265910","SEMINOLE GAS PROCESSING PLANT","3.5 MI NW ON HWY 214 FROM INTX OF HWY 180 AND HWY 214","RN103758470","SEMINOLE"," GAINES","MAINTENANCE",2017-08-23,"5:40AM","FINAL REPORT","08/24/2017","
		10:20AM
","On 8/23/2017, the Seminole Gas Processing Plant operated by Hess Corporation began maintenance on the HHE Inlet Compressor and started flaring at approximately at 5:40 hours.  The work was completed and flaring ceased on 8/24/2017 at approximately 10:20 hours.Below is a list of equipment and work performed:","This was a preventative maintenance event to improve the reliability of the compressor.","BASIS USED TO DETERMINE QUANTITIES FOR THE EVENT*:Natural Gas Released = Total pounds of Methane+ x (0.02) = lbs of Natural Gas released excluding O2, N2, CO2 & H2SNOx Released = (MSCF) x (1000) x (BTU/SCF) x (0.0000000641) = lbs. of NOx ",FALSE
"Sulfur dioxide","Permit No. O8414, PSD-TX-328M3","94.11 LBS/HR","22374.0 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265910","SEMINOLE GAS PROCESSING PLANT","3.5 MI NW ON HWY 214 FROM INTX OF HWY 180 AND HWY 214","RN103758470","SEMINOLE"," GAINES","MAINTENANCE",2017-08-23,"5:40AM","FINAL REPORT","08/24/2017","
		10:20AM
","On 8/23/2017, the Seminole Gas Processing Plant operated by Hess Corporation began maintenance on the HHE Inlet Compressor and started flaring at approximately at 5:40 hours.  The work was completed and flaring ceased on 8/24/2017 at approximately 10:20 hours.Below is a list of equipment and work performed:","This was a preventative maintenance event to improve the reliability of the compressor.","BASIS USED TO DETERMINE QUANTITIES FOR THE EVENT*:Natural Gas Released = Total pounds of Methane+ x (0.02) = lbs of Natural Gas released excluding O2, N2, CO2 & H2SNOx Released = (MSCF) x (1000) x (BTU/SCF) x (0.0000000641) = lbs. of NOx ",FALSE
"VOC","Permit No. O8414, PSD-TX-328M3","9.01 LBS/HR","2158.0 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265910","SEMINOLE GAS PROCESSING PLANT","3.5 MI NW ON HWY 214 FROM INTX OF HWY 180 AND HWY 214","RN103758470","SEMINOLE"," GAINES","MAINTENANCE",2017-08-23,"5:40AM","FINAL REPORT","08/24/2017","
		10:20AM
","On 8/23/2017, the Seminole Gas Processing Plant operated by Hess Corporation began maintenance on the HHE Inlet Compressor and started flaring at approximately at 5:40 hours.  The work was completed and flaring ceased on 8/24/2017 at approximately 10:20 hours.Below is a list of equipment and work performed:","This was a preventative maintenance event to improve the reliability of the compressor.","BASIS USED TO DETERMINE QUANTITIES FOR THE EVENT*:Natural Gas Released = Total pounds of Methane+ x (0.02) = lbs of Natural Gas released excluding O2, N2, CO2 & H2SNOx Released = (MSCF) x (1000) x (BTU/SCF) x (0.0000000641) = lbs. of NOx ",FALSE
"Opacity","30 TAC 111","20.0 % op","45.0 % op (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265971","MIDMAR EAST GAS PLANT","FROM THE INTX OF HWY 349 & LOOP 250 DRIVE N ON HWY 349 ABOUT 10 MI TURN L OPPOSITE A PAIR OF RADIO TOWERS AND GO W ON LEASE RD FOR 4.3 MI DRIVE AROUND BUFFALO WALLOW AND THEN DRIVE N 0.35 MI TO PLANT ACCESS RD AND ENTER PLANT","RN106570609","MIDLAND"," ANDREWS","EXCESS OPACITY",2017-08-22,"7:17AM","INITIAL REPORT","08/22/2017","
		10:32AM
","During the course of purging a propane tank through EPN FLR-1, the air assist blower on the flare malfunctioned.","Upon discovery, personnel from Coronado Midstream attempted to restart the blower motor.  Eventually, the staff was able to re-start the motor, but at a lower flow rate.  This lower flow rate allows the flare to operate with no visible emissions.  Coronado Midstream will replace the blower motor.","Personal observation of plant foreman and contemporaneous plant logs detailing times of the event.",FALSE
"Benzene","SOP O-3120","10.0 TONS/YR","15.44 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Butane","SOP O-3120","25.0 TONS/YR","1763.52 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Carbon Monoxide","SOP O-3120","250.0 TONS/YR","3906.45 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Cyclohexane","SOP O-3120","10.0 TONS/YR","71.45 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Ethylbenzene","SOP O-3120","10.0 TONS/YR","1.17 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Heptane (or n-)","SOP O-3120","25.0 TONS/YR","206.32 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Hexane","SOP O-3120","25.0 TONS/YR","452.86 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Nitrogen Oxides","SOP O-3120","250.0 TONS/YR","1956.77 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Nonane","SOP O-3120","25.0 TONS/YR","21.13 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Octane","SOP O-3120","25.0 TONS/YR","59.59 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Pentane","SOP O-3120","25.0 TONS/YR","1144.93 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Propane","SOP O-3120","25.0 TONS/YR","2313.73 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Toluene","SOP O-3120","10.0 TONS/YR","15.18 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"Xylene","SOP O-3120","10.0 TONS/YR","4.66 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
"decane","SOP O-3120","25.0 TONS/YR","32.03 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=266018","MIDKIFF GAS PLANT","FROM FM 3095 AND FM 2401 IN MIDKIFF E 4.25 MI ON FM 2401 TO PLANT ENTRANCE","RN100215714","MIDKIFF"," REAGAN","EMISSIONS EVENT",2017-08-22,"7:15AM","FINAL REPORT","08/22/2017","
		3:40PM
","An unexpected slippage of moisture from the molecular sieve beds to the cryogenic process caused a freeze up and the need to shut down the plant to thaw the moisture.  This directed inlet gas and residue gas to the EPNs C-1 Flare, Consolidator Flare and the B-Plant Flare.","The plant was brought back online when the moisture was thawed ending the emission event. Inlet gas was routed to other plants as possible to minimize the event. All activities were performed as quick as possible allowing for safety.","Step 1:For each gas component, calculate Net Molecular Weight (MW):Net MW (lb/lb-mole) =Mole % of Component/100 x MW of ComponentExample using propane:Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole ",FALSE
